Constellation,From,To
Aquarius,1901-02-16,1901-03-11
Pisces,1901-03-12,1901-04-18
Aries,1901-04-19,1901-05-13
Taurus,1901-05-14,1901-06-20
Gemini,1901-06-21,1901-07-20
Cancer,1901-07-21,1901-08-10
Leo,1901-08-11,1901-09-16
Virgo,1901-09-17,1901-10-30
Libra,1901-10-31,1901-11-22
Scorpius,1901-11-23,1901-11-29
Ophiucus,1901-11-30,1901-12-17
Sagittarius,1901-12-18,1901-01-19
Capricornus,1901-01-20,1901-02-15
Aquarius,1902-02-16,1902-03-11
Pisces,1902-03-12,1902-04-18
Aries,1902-04-19,1902-05-13
Taurus,1902-05-14,1902-06-21
Gemini,1902-06-22,1902-07-20
Cancer,1902-07-21,1902-08-10
Leo,1902-08-11,1902-09-16
Virgo,1902-09-17,1902-10-30
Libra,1902-10-31,1902-11-22
Scorpius,1902-11-23,1902-11-29
Ophiucus,1902-11-30,1902-12-17
Sagittarius,1902-12-18,1902-01-19
Capricornus,1902-01-20,1902-02-15
Aquarius,1903-02-16,1903-03-12
Pisces,1903-03-13,1903-04-18
Aries,1903-04-19,1903-05-14
Taurus,1903-05-15,1903-06-21
Gemini,1903-06-22,1903-07-20
Cancer,1903-07-21,1903-08-10
Leo,1903-08-11,1903-09-16
Virgo,1903-09-17,1903-10-31
Libra,1903-11-01,1903-11-23
Scorpius,1903-11-24,1903-11-29
Ophiucus,1903-11-30,1903-12-18
Sagittarius,1903-12-19,1903-01-19
Capricornus,1903-01-20,1903-02-15
Aquarius,1904-02-17,1904-03-11
Pisces,1904-03-12,1904-04-17
Aries,1904-04-18,1904-05-13
Taurus,1904-05-14,1904-06-20
Gemini,1904-06-21,1904-07-19
Cancer,1904-07-20,1904-08-09
Leo,1904-08-10,1904-09-15
Virgo,1904-09-16,1904-10-30
Libra,1904-10-31,1904-11-22
Scorpius,1904-11-23,1904-11-28
Ophiucus,1904-11-29,1904-12-17
Sagittarius,1904-12-18,1904-01-19
Capricornus,1904-01-20,1904-02-16
Aquarius,1905-02-16,1905-03-11
Pisces,1905-03-12,1905-04-18
Aries,1905-04-19,1905-05-13
Taurus,1905-05-14,1905-06-20
Gemini,1905-06-21,1905-07-20
Cancer,1905-07-21,1905-08-10
Leo,1905-08-11,1905-09-16
Virgo,1905-09-17,1905-10-30
Libra,1905-10-31,1905-11-22
Scorpius,1905-11-23,1905-11-29
Ophiucus,1905-11-30,1905-12-17
Sagittarius,1905-12-18,1905-01-19
Capricornus,1905-01-20,1905-02-15
Aquarius,1906-02-16,1906-03-11
Pisces,1906-03-12,1906-04-18
Aries,1906-04-19,1906-05-13
Taurus,1906-05-14,1906-06-21
Gemini,1906-06-22,1906-07-20
Cancer,1906-07-21,1906-08-10
Leo,1906-08-11,1906-09-16
Virgo,1906-09-17,1906-10-30
Libra,1906-10-31,1906-11-22
Scorpius,1906-11-23,1906-11-29
Ophiucus,1906-11-30,1906-12-17
Sagittarius,1906-12-18,1906-01-19
Capricornus,1906-01-20,1906-02-15
Aquarius,1907-02-17,1907-03-12
Pisces,1907-03-13,1907-04-18
Aries,1907-04-19,1907-05-14
Taurus,1907-05-15,1907-06-21
Gemini,1907-06-22,1907-07-20
Cancer,1907-07-21,1907-08-10
Leo,1907-08-11,1907-09-16
Virgo,1907-09-17,1907-10-31
Libra,1907-11-01,1907-11-23
Scorpius,1907-11-24,1907-11-29
Ophiucus,1907-11-30,1907-12-18
Sagittarius,1907-12-19,1907-01-19
Capricornus,1907-01-20,1907-02-16
Aquarius,1908-02-17,1908-03-11
Pisces,1908-03-12,1908-04-17
Aries,1908-04-18,1908-05-13
Taurus,1908-05-14,1908-06-20
Gemini,1908-06-21,1908-07-19
Cancer,1908-07-20,1908-08-09
Leo,1908-08-10,1908-09-15
Virgo,1908-09-16,1908-10-30
Libra,1908-10-31,1908-11-22
Scorpius,1908-11-23,1908-11-28
Ophiucus,1908-11-29,1908-12-17
Sagittarius,1908-12-18,1908-01-19
Capricornus,1908-01-20,1908-02-16
Aquarius,1909-02-16,1909-03-11
Pisces,1909-03-12,1909-04-18
Aries,1909-04-19,1909-05-13
Taurus,1909-05-14,1909-06-20
Gemini,1909-06-21,1909-07-20
Cancer,1909-07-21,1909-08-10
Leo,1909-08-11,1909-09-16
